"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the petstore application pet detail","As a user I am registering new pet detail","SUCCESS","2023-01-10T22:43:10.721Z[Europe/London]","0.0","8.32"
"Testing different request on the petstore application pet detail","As a user I am getting detail of new pet","SUCCESS","2023-01-10T22:43:20.003Z[Europe/London]","0.0","0.84"
"Testing different request on the petstore application pet detail","As a user I am updating existing pet detail","SUCCESS","2023-01-10T22:43:20.892Z[Europe/London]","0.0","0.82"
"Testing different request on the petstore application pet detail","As user I am deleting Pet detail","SUCCESS","2023-01-10T22:43:21.738Z[Europe/London]","0.0","1.3"
