"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the petstore application","As a user I am getting detail of new user","SUCCESS","2023-01-10T22:43:26.900Z[Europe/London]","0.0","0.62"
"Testing different request on the petstore application","As a user I am updating user detail","SUCCESS","2023-01-10T22:43:27.545Z[Europe/London]","0.0","1.14"
"Testing different request on the petstore application","As user I am deleting user detail","SUCCESS","2023-01-10T22:43:28.723Z[Europe/London]","0.0","1.35"
"Testing different request on the petstore application","As a user I am registering new user detail","SUCCESS","2023-01-10T22:43:30.106Z[Europe/London]","0.0","3.56"
