"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-10T22:43:10.103Z[Europe/London]","0.0","7.62"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-10T22:43:17.759Z[Europe/London]","0.0","0.99"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-10T22:43:18.748Z[Europe/London]","0.0","0.61"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-10T22:43:19.361Z[Europe/London]","0.0","1.31"
