"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This will create a new user","SUCCESS","2023-01-10T22:43:21.540Z[Europe/London]","0.0","0.92"
"User CRUD test","This will verify that new user has been created","SUCCESS","2023-01-10T22:43:22.461Z[Europe/London]","0.0","0.83"
"User CRUD test","This will update a new user","SUCCESS","2023-01-10T22:43:23.292Z[Europe/London]","0.0","1.12"
"User CRUD test","Deleting user and verifying user is delted","SUCCESS","2023-01-10T22:43:24.414Z[Europe/London]","0.0","1.2"
